id,timestamp,prob,type,amp
CI.SLV.,2020-10-01 00:01:28.790,0.22092576,P,1.943486863399912e-09
CI.SLV.,2020-10-01 00:01:37.960,0.14023747,P,1.2735597716347962e-09
CI.SLV.,2020-10-01 00:01:40.270,0.7107726,P,3.882803928885928e-10
CI.SLV.,2020-10-01 00:01:46.040,0.3307373,P,1.4384349044258875e-10
CI.SLV.,2020-10-01 00:01:58.170,0.48730487,P,3.1158194997218887e-10
CI.SLV.,2020-10-01 00:02:08.060,0.112600125,P,1.8811986878899048e-10
CI.SLV.,2020-10-01 00:02:09.830,0.48632348,P,3.6121484142368494e-10
CI.SLV.,2020-10-01 00:02:18.510,0.29117,P,5.327966999537953e-10
CI.SLV.,2020-10-01 00:02:27.840,0.7571067,P,2.850812022422491e-10
CI.SLV.,2020-10-01 00:02:35.980,0.13386305,P,1.3000183207956297e-09
CI.SNR.,2020-10-01 00:01:27.680,0.17544988,P,1.983451911545268e-08
CI.SNR.,2020-10-01 00:01:57.140,0.100097604,P,1.8398051126892547e-08
CI.SNR.,2020-10-01 00:02:26.550,0.2439293,P,2.2403167384581872e-08
CI.SWS.,2020-10-01 00:00:33.650,0.31701455,P,6.156581020352976e-10
CI.SWS.,2020-10-01 00:00:37.330,0.52646124,S,2.132148419543519e-09
CI.SWS.,2020-10-01 00:00:40.920,0.2638647,P,1.7371805625647752e-09
CI.SWS.,2020-10-01 00:00:42.830,0.37459916,S,7.689521288265205e-09
CI.SWS.,2020-10-01 00:00:59.910,0.9235334,P,4.263170022944609e-09
CI.SWS.,2020-10-01 00:01:01.880,0.3374263,S,9.576424052314607e-10
CI.SWS.,2020-10-01 00:01:10.900,0.43486422,P,3.166849269621911e-09
CI.SWS.,2020-10-01 00:01:14.090,0.7313013,S,9.043131686241789e-09
CI.SWS.,2020-10-01 00:01:17.550,0.3365688,P,4.312273182008191e-09
CI.SWS.,2020-10-01 00:01:19.690,0.66086155,S,1.4000537578916373e-08
CI.SWS.,2020-10-01 00:01:27.010,0.66589594,P,2.8106192541618212e-09
CI.SWS.,2020-10-01 00:01:29.800,0.4627514,S,2.8578374914208083e-09
CI.SWS.,2020-10-01 00:01:36.420,0.3565976,P,7.554434601942572e-10
CI.SWS.,2020-10-01 00:01:38.300,0.47121984,S,2.959734838992624e-09
CI.SWS.,2020-10-01 00:01:44.990,0.10536917,S,6.873063633709247e-09
CI.SWS.,2020-10-01 00:01:56.150,0.84848064,P,4.301080595449856e-09
CI.SWS.,2020-10-01 00:01:59.470,0.7216845,S,5.001428001743985e-09
CI.SWS.,2020-10-01 00:02:05.960,0.14397332,P,2.2147621654961458e-09
CI.SWS.,2020-10-01 00:02:09.400,0.2893131,S,5.520486906669659e-09
CI.SWS.,2020-10-01 00:02:25.460,0.117311,P,1.8989759630413912e-08
CI.SWS.,2020-10-01 00:02:26.140,0.22870153,P,1.1986703641868795e-08
CI.SWS.,2020-10-01 00:02:28.220,0.25313297,S,1.3012413421737026e-08
CI.SWS.,2020-10-01 00:02:29.030,0.5450381,S,9.164386574197276e-09
CI.SWS.,2020-10-01 00:02:39.020,0.14685774,P,7.4493985202521565e-09
CI.SWS.,2020-10-01 00:02:41.200,0.1290004,S,1.4262165018110188e-08
CI.WES.,2020-10-01 00:02:27.760,0.19994153,P,4.867108155834213e-10
CI.WES.,2020-10-01 00:02:33.500,0.12650569,S,1.387237338721982e-08
CI.WES.,2020-10-01 00:02:34.250,0.13787575,S,2.6644959913075075e-08
CI.WES.,2020-10-01 00:02:44.700,0.10847609,S,6.594899686144735e-08
CI.WMD.,2020-10-01 00:00:15.060,0.8114058,P,6.287190082560707e-08
CI.WMD.,2020-10-01 00:00:17.020,0.7917697,S,1.462245368115994e-07
CI.WMD.,2020-10-01 00:00:30.920,0.96718365,P,5.59592136831314e-08
CI.WMD.,2020-10-01 00:00:32.950,0.91899407,S,1.0377364212569274e-07
CI.WMD.,2020-10-01 00:00:39.030,0.8670801,P,6.69033734555472e-08
CI.WMD.,2020-10-01 00:00:40.720,0.6979995,S,9.790582461737643e-08
CI.WMD.,2020-10-01 00:00:43.980,0.10841507,P,3.8584835457808286e-08
CI.WMD.,2020-10-01 00:00:45.890,0.32743424,S,7.518043806049567e-08
CI.WMD.,2020-10-01 00:00:56.340,0.9835001,P,1.0405118008241064e-07
CI.WMD.,2020-10-01 00:00:58.200,0.9272505,S,2.513636475849497e-07
CI.WMD.,2020-10-01 00:01:07.730,0.97794306,P,4.7513688930500114e-08
CI.WMD.,2020-10-01 00:01:09.720,0.951447,S,1.5197340999428452e-07
CI.WMD.,2020-10-01 00:01:15.470,0.982681,P,2.4993877283166027e-07
CI.WMD.,2020-10-01 00:01:17.150,0.93803483,S,5.44026757840565e-07
CI.WMD.,2020-10-01 00:01:23.230,0.9358047,P,3.8253994391788616e-08
CI.WMD.,2020-10-01 00:01:25.030,0.92295885,S,1.1810094390751776e-07
CI.WMD.,2020-10-01 00:01:32.940,0.9483461,P,7.932655794223564e-08
CI.WMD.,2020-10-01 00:01:34.950,0.9408844,S,1.552300309829789e-07
CI.WMD.,2020-10-01 00:01:40.330,0.9138061,P,1.3790772749617402e-07
CI.WMD.,2020-10-01 00:01:42.120,0.89673907,S,5.00695193494067e-08
CI.WMD.,2020-10-01 00:01:53.030,0.73915684,P,2.3807677586736758e-08
CI.WMD.,2020-10-01 00:01:55.000,0.89506745,S,1.37689742916369e-07
CI.WMD.,2020-10-01 00:02:02.350,0.9663274,P,2.015068430152694e-08
CI.WMD.,2020-10-01 00:02:04.090,0.7064447,S,3.929263309200071e-07
CI.WMD.,2020-10-01 00:02:14.400,0.83250695,P,9.88190373287072e-08
CI.WMD.,2020-10-01 00:02:16.120,0.7326295,S,1.503274745518818e-07
CI.WMD.,2020-10-01 00:02:19.770,0.1694521,P,1.7240499994914442e-08
CI.WMD.,2020-10-01 00:02:21.520,0.12137757,P,1.5022197441053743e-07
CI.WMD.,2020-10-01 00:02:22.810,0.7560364,P,5.338793587850376e-07
CI.WMD.,2020-10-01 00:02:24.770,0.9079074,S,8.22845537803069e-07
CI.WMD.,2020-10-01 00:02:35.410,0.48010102,P,6.043659587773806e-08
CI.WMD.,2020-10-01 00:02:37.810,0.47822866,S,6.524468770950722e-08
CI.YUH2.,2020-10-01 00:00:03.460,0.93272805,P,1.2189778536568983e-09
CI.YUH2.,2020-10-01 00:00:10.410,0.71591264,S,6.6599990592729505e-09
CI.YUH2.,2020-10-01 00:00:39.100,0.910028,P,1.6544770409310533e-10
CI.YUH2.,2020-10-01 00:00:46.710,0.6011768,S,1.7996997726449784e-09
CI.YUH2.,2020-10-01 00:01:05.180,0.35680133,P,2.533096066460722e-09
CI.YUH2.,2020-10-01 00:01:11.780,0.57672894,S,1.5291264536677025e-09
CI.YUH2.,2020-10-01 00:01:15.890,0.90530854,P,6.464521639539343e-10
CI.YUH2.,2020-10-01 00:01:23.600,0.3284958,S,2.1774105673105902e-10
CI.YUH2.,2020-10-01 00:01:31.780,0.5674645,P,2.2900918073623376e-09
CI.YUH2.,2020-10-01 00:01:38.430,0.6340884,S,2.59093043322347e-09
CI.YUH2.,2020-10-01 00:01:43.510,0.28125745,P,2.920796950021337e-09
CI.YUH2.,2020-10-01 00:01:47.580,0.14913696,S,2.6870136713322387e-09
CI.YUH2.,2020-10-01 00:01:53.930,0.20044933,P,1.612701646550423e-09
CI.YUH2.,2020-10-01 00:02:01.260,0.90372854,P,6.502259245067195e-10
CI.YUH2.,2020-10-01 00:02:08.190,0.6617383,S,8.898581590778288e-11
CI.YUH2.,2020-10-01 00:02:23.230,0.31759408,P,4.2787666115287996e-10
CI.YUH2.,2020-10-01 00:02:30.850,0.76398325,P,3.994211559677494e-09
CI.YUH2.,2020-10-01 00:02:37.390,0.6474166,S,7.262515623613598e-09
CI.YUH2.,2020-10-01 00:02:43.860,0.19386785,S,4.168222929641708e-09
