time,magnitude,longitude,latitude,depth_km,utmx,utmy
15/2/2020 15:58,,101.147011,-1.64142,0.867,738867.3871,9818445.031
15/2/2020 16:02,,101.151602,-1.640694,1.013,739378.49,9818524.784
15/2/2020 16:03,,101.145375,-1.648554,0.4,738684.4385,9817656.143
15/2/2020 16:04,,101.1448,-1.646071,0.503,738620.7323,9817930.854
15/2/2020 16:04,,101.140464,-1.648667,-0.491,738137.7942,9817644.233
15/2/2020 16:05,,101.146178,-1.641359,0.84,738774.6747,9818451.878
15/2/2020 16:07,,101.1452,-1.64594,0.346,738665.271,9817945.295
15/2/2020 16:08,,101.14528,-1.642839,0.5,738674.5443,9818288.284
15/2/2020 16:11,,101.15777,-1.62842,0.62422,740066.5014,9819881.669
15/2/2020 16:22,,101.147977,-1.638502,0.95,738975.2572,9818767.673
15/2/2020 16:23,,101.148031,-1.643764,0.888,738980.6427,9818185.642
15/2/2020 16:24,,101.148541,-1.638616,0.697,739038.0217,9818754.996
15/2/2020 17:15,,101.145262,-1.630272,0.372,738674.0279,9819678.308
15/2/2020 17:16,,101.147826,-1.640894,1.014,738958.1657,9818503.114
15/2/2020 17:21,,101.149686,-1.64032,0.298,739165.2674,9818566.381
16/2/2020 9:16,,101.157444,-1.639127,1.086,740028.9425,9818697.409
16/2/2020 9:17,,101.150612,-1.645892,1.431,739267.6754,9817949.956
16/2/2020 9:43,,101.148789,-1.639498,0.837,739065.5214,9818657.409
16/2/2020 9:45,,101.14189,-1.648371,-0.552,738296.5536,9817676.802
16/2/2020 10:33,,101.146611,-1.642866,0.97,738822.692,9818285.138
16/2/2020 15:51,,101.170394,-1.640835,-0.356,741470.1958,9818506.928
17/2/2020 11:03,,101.1418,-1.60818,-0.81161,738291.2601,9822122.283
17/2/2020 11:13,,101.153777,-1.628093,0.882,739622.0812,9819918.314
17/2/2020 11:50,,101.15015,-1.62353,0.4145,739218.9002,9820423.455
17/2/2020 12:41,,101.19597,-1.61867,3.00874,744319.7559,9820955.549
17/2/2020 12:50,,101.14686,-1.64144,2.16433,738850.5772,9818442.837
17/2/2020 13:17,,101.15158,-1.6139,3.05393,739379.2031,9821488.453
17/2/2020 13:29,,101.164934,-1.638069,1.885,740862.7757,9818813.535
17/2/2020 13:38,,101.147925,-1.642693,0.491,738968.9714,9818304.117
17/2/2020 14:16,,101.19189,-1.60424,3.33898,743867.3174,9822552.175
17/2/2020 14:24,,101.12689,-1.61108,-0.72129,736631.3076,9821803.257
17/2/2020 14:57,,101.14022,-1.61968,0.44276,738114.0522,9820850.47
17/2/2020 15:12,,101.21966,-1.60638,4.02675,746958.2653,9822312.127
17/2/2020 15:49,,101.13027,-1.6066,-0.38236,737008.0478,9822298.387
17/2/2020 15:59,,101.12673,-1.61791,-0.84139,736612.7079,9821047.827
17/2/2020 16:08,,101.15921,-1.62467,0.78474,740227.2313,9820296.284
17/2/2020 16:21,,101.14613,-1.63594,0.03778,738769.9742,9819051.273
17/2/2020 17:38,,101.146884,-1.644789,0.634,738852.8504,9818072.405
17/2/2020 17:46,,101.1391,-1.61465,-0.4317,737989.9728,9821406.962
17/2/2020 17:47,,101.135869,-1.644361,-0.577,737626.8484,9818121.061
17/2/2020 20:46,,101.144358,-1.638911,0.378,738572.3843,9818722.866
17/2/2020 21:00,,101.146102,-1.64681,-0.353,738765.567,9817848.958
17/2/2020 21:01,,101.15446,-1.5974,2.12646,739701.7001,9823313.17
17/2/2020 21:07,,101.155319,-1.626454,-0.097,739793.9141,9820099.419
17/2/2020 21:27,,101.141915,-1.638002,1.534,738300.5663,9818823.7
17/2/2020 21:45,,101.14377,-1.61894,2.86589,738509.2857,9820931.903
17/2/2020 21:51,,101.142313,-1.651346,-0.419,738343.2822,9817347.691
17/2/2020 21:54,,101.14906,-1.642602,0.537,739095.3171,9818314.046
17/2/2020 22:04,,101.141866,-1.643271,0.564,738294.4882,9818240.909
17/2/2020 23:46,,101.12504,-1.60958,0.15361,736425.5603,9821969.383
18/2/2020 9:42,,101.18963,-1.5674,4.19698,743620.0609,9826627.394
18/2/2020 23:05,,101.1464,-1.58456,1.65624,738806.0129,9824734.328
18/2/2020 23:05,,101.3192,-1.5395,0.9328,758047.2134,9829698.214
21/2/2020 10:25,,101.1478,-1.64457,0.22561,738954.8346,9818096.518
22/2/2020 15:36,,101.146352,-1.647085,-0.432,738793.3612,9817818.51
22/2/2020 16:12,,101.14212,-1.65213,0.00471,738321.7064,9817260.997
22/2/2020 20:05,,101.155736,-1.644884,-0.135,739838.1399,9818060.834
23/2/2020 21:06,,101.121058,-1.620817,0.362,735981.0338,9820726.953
24/2/2020 20:59,,101.15772,-1.55759,7.28009,740069.142,9827716.163
25/2/2020 3:58,,101.151533,-1.629802,1.353,739372.1013,9819729.549
25/2/2020 3:59,,101.14945,-1.64099,0.96306,739138.919,9818492.301
25/2/2020 4:10,,101.14428,-1.64969,0.11052,738562.4213,9817530.623
25/2/2020 4:16,,101.15605,-1.63926,0.10895,739873.7619,9818682.865
25/2/2020 4:18,,101.150255,-1.643066,0.791,739228.2752,9818262.58
25/2/2020 4:47,,101.19139,-1.62409,5.21274,743809.2939,9820356.582
25/2/2020 4:48,,101.147541,-1.631597,1.266,738927.544,9819531.48
25/2/2020 4:55,,101.14913,-1.62888,0.63007,739104.7345,9819831.816
25/2/2020 4:59,,101.12461,-1.6164,-0.19442,736376.91,9821215.091
