,id,timestamp,prob,type,filename
8076,ML09,2020-04-29 10:38:05.140,0.29276362,s,ML09_20200429_120_10.mseed
8077,ML09,2020-04-29 10:40:02.620,0.5153117,p,ML09_20200429_120_10.mseed
8078,ML09,2020-04-29 10:40:02.890,0.23928466,s,ML09_20200429_120_10.mseed
8079,ML09,2020-04-29 10:41:42.080,0.9534081,p,ML09_20200429_120_10.mseed
8080,ML09,2020-04-29 10:44:20.030,0.15210667,p,ML09_20200429_120_10.mseed
8081,ML09,2020-04-29 10:45:30.290,0.5636332,p,ML09_20200429_120_10.mseed
8082,ML09,2020-04-29 10:45:30.600,0.36251435,s,ML09_20200429_120_10.mseed
8083,ML09,2020-04-29 10:45:35.790,0.17154074,p,ML09_20200429_120_10.mseed
8084,ML09,2020-04-29 10:49:46.190,0.7304392,p,ML09_20200429_120_10.mseed
8085,ML09,2020-04-29 10:49:46.910,0.12034326,s,ML09_20200429_120_10.mseed
8086,ML09,2020-04-29 10:50:05.490,0.23868124,p,ML09_20200429_120_10.mseed
8087,ML09,2020-04-29 10:50:05.930,0.25731233,s,ML09_20200429_120_10.mseed
8088,ML09,2020-04-29 10:50:29.460,0.68378407,p,ML09_20200429_120_10.mseed
8089,ML09,2020-04-29 10:50:33.650,0.6466557,p,ML09_20200429_120_10.mseed
8090,ML09,2020-04-29 10:50:34.050,0.44369647,s,ML09_20200429_120_10.mseed
8091,ML09,2020-04-29 10:50:43.830,0.55389726,p,ML09_20200429_120_10.mseed
8092,ML09,2020-04-29 10:50:44.040,0.33927417,s,ML09_20200429_120_10.mseed
8093,ML09,2020-04-29 10:51:38.430,0.1370871,p,ML09_20200429_120_10.mseed
8094,ML09,2020-04-29 10:51:43.780,0.7712063,p,ML09_20200429_120_10.mseed
8095,ML09,2020-04-29 10:51:43.980,0.17703617,s,ML09_20200429_120_10.mseed
8096,ML09,2020-04-29 10:51:57.740,0.4485212,p,ML09_20200429_120_10.mseed
8097,ML09,2020-04-29 10:51:58.180,0.19289334,s,ML09_20200429_120_10.mseed
8098,ML09,2020-04-29 10:53:16.870,0.4685281,p,ML09_20200429_120_10.mseed
8099,ML09,2020-04-29 10:53:28.710,0.115580335,s,ML09_20200429_120_10.mseed
8100,ML09,2020-04-29 10:55:12.120,0.17575528,p,ML09_20200429_120_10.mseed
8101,ML09,2020-04-29 10:55:26.740,0.8237041,p,ML09_20200429_120_10.mseed
8102,ML09,2020-04-29 10:58:57.470,0.1952542,p,ML09_20200429_120_10.mseed
8103,ML09,2020-04-29 10:59:01.710,0.4326794,p,ML09_20200429_120_10.mseed
8104,ML09,2020-04-29 10:59:02.020,0.3926589,s,ML09_20200429_120_10.mseed
8105,ML09,2020-04-29 10:59:07.670,0.6819974,p,ML09_20200429_120_10.mseed
8106,ML09,2020-04-29 10:59:07.950,0.3183242,s,ML09_20200429_120_10.mseed
8107,ML09,2020-04-29 09:03:19.280,0.6247293,s,ML09_20200429_120_09.mseed
8108,ML09,2020-04-29 09:03:18.770,0.118687786,p,ML09_20200429_120_09.mseed
8109,ML09,2020-04-29 09:05:04.410,0.103298664,p,ML09_20200429_120_09.mseed
8110,ML09,2020-04-29 09:05:22.490,0.12277671,p,ML09_20200429_120_09.mseed
8111,ML09,2020-04-29 09:08:19.400,0.16918853,p,ML09_20200429_120_09.mseed
8112,ML09,2020-04-29 09:12:02.650,0.12932813,s,ML09_20200429_120_09.mseed
8113,ML09,2020-04-29 09:15:10.800,0.29380968,p,ML09_20200429_120_09.mseed
8114,ML09,2020-04-29 09:16:23.780,0.5598516,p,ML09_20200429_120_09.mseed
8115,ML09,2020-04-29 09:16:24.150,0.34692872,s,ML09_20200429_120_09.mseed
8116,ML09,2020-04-29 09:17:39.430,0.53771454,p,ML09_20200429_120_09.mseed
8117,ML09,2020-04-29 09:17:39.690,0.4116924,s,ML09_20200429_120_09.mseed
8118,ML09,2020-04-29 09:18:03.880,0.34875748,p,ML09_20200429_120_09.mseed
8119,ML09,2020-04-29 09:18:20.970,0.19375402,s,ML09_20200429_120_09.mseed
8120,ML09,2020-04-29 09:21:06.070,0.9660472,p,ML09_20200429_120_09.mseed
8121,ML09,2020-04-29 09:21:06.700,0.27177745,s,ML09_20200429_120_09.mseed
8122,ML09,2020-04-29 09:22:10.140,0.54581314,p,ML09_20200429_120_09.mseed
8123,ML09,2020-04-29 09:22:10.670,0.631687,s,ML09_20200429_120_09.mseed
8124,ML09,2020-04-29 09:22:36.490,0.10208611,s,ML09_20200429_120_09.mseed
8125,ML09,2020-04-29 09:22:46.080,0.15339479,p,ML09_20200429_120_09.mseed
8126,ML09,2020-04-29 09:22:46.040,0.21992639,s,ML09_20200429_120_09.mseed
8127,ML09,2020-04-29 09:23:32.340,0.18072131,p,ML09_20200429_120_09.mseed
8128,ML09,2020-04-29 09:23:32.780,0.24405068,s,ML09_20200429_120_09.mseed
8129,ML09,2020-04-29 09:25:06.720,0.4673077,p,ML09_20200429_120_09.mseed
8130,ML09,2020-04-29 09:25:06.990,0.523672,s,ML09_20200429_120_09.mseed
8131,ML09,2020-04-29 09:27:00.060,0.13040736,p,ML09_20200429_120_09.mseed
8132,ML09,2020-04-29 09:27:13.670,0.29680765,s,ML09_20200429_120_09.mseed
8133,ML09,2020-04-29 09:30:30.030,0.16512275,s,ML09_20200429_120_09.mseed
8134,ML09,2020-04-29 09:31:34.700,0.21550734,p,ML09_20200429_120_09.mseed
8135,ML09,2020-04-29 09:32:09.730,0.74699885,p,ML09_20200429_120_09.mseed
8136,ML09,2020-04-29 09:32:10.610,0.7285035,s,ML09_20200429_120_09.mseed
8137,ML09,2020-04-29 09:32:17.010,0.20417893,s,ML09_20200429_120_09.mseed
8138,ML09,2020-04-29 09:32:34.410,0.12719204,s,ML09_20200429_120_09.mseed
8139,ML09,2020-04-29 09:32:38.070,0.10219541,p,ML09_20200429_120_09.mseed
8140,ML09,2020-04-29 09:32:38.230,0.120288566,p,ML09_20200429_120_09.mseed
8141,ML09,2020-04-29 09:32:38.390,0.188332,p,ML09_20200429_120_09.mseed
8142,ML09,2020-04-29 09:33:03.830,0.1259439,p,ML09_20200429_120_09.mseed
8143,ML09,2020-04-29 09:33:04.160,0.15319328,s,ML09_20200429_120_09.mseed
8144,ML09,2020-04-29 09:33:06.900,0.24379128,p,ML09_20200429_120_09.mseed
8145,ML09,2020-04-29 09:33:07.350,0.44703892,s,ML09_20200429_120_09.mseed
8146,ML09,2020-04-29 09:33:24.260,0.55314803,p,ML09_20200429_120_09.mseed
8147,ML09,2020-04-29 09:33:24.380,0.25741193,s,ML09_20200429_120_09.mseed
8148,ML09,2020-04-29 09:33:43.950,0.17091788,p,ML09_20200429_120_09.mseed
8149,ML09,2020-04-29 09:33:44.570,0.1638596,s,ML09_20200429_120_09.mseed
8150,ML09,2020-04-29 09:34:03.830,0.15864356,p,ML09_20200429_120_09.mseed
8151,ML09,2020-04-29 09:34:27.430,0.18858086,p,ML09_20200429_120_09.mseed
8152,ML09,2020-04-29 09:34:30.760,0.2292925,s,ML09_20200429_120_09.mseed
8153,ML09,2020-04-29 09:34:30.520,0.10340023,p,ML09_20200429_120_09.mseed
8154,ML09,2020-04-29 09:35:30.120,0.11835,p,ML09_20200429_120_09.mseed
8155,ML09,2020-04-29 09:35:46.100,0.45366445,p,ML09_20200429_120_09.mseed
8156,ML09,2020-04-29 09:35:48.710,0.12351687,p,ML09_20200429_120_09.mseed
8157,ML09,2020-04-29 09:37:01.020,0.24708664,s,ML09_20200429_120_09.mseed
8158,ML09,2020-04-29 09:37:00.990,0.11471854,p,ML09_20200429_120_09.mseed
8159,ML09,2020-04-29 09:37:02.810,0.12527025,p,ML09_20200429_120_09.mseed
8160,ML09,2020-04-29 09:37:07.950,0.48257595,s,ML09_20200429_120_09.mseed
8161,ML09,2020-04-29 09:37:07.800,0.12333037,p,ML09_20200429_120_09.mseed
8162,ML09,2020-04-29 09:37:45.950,0.6068734,p,ML09_20200429_120_09.mseed
8163,ML09,2020-04-29 09:37:46.090,0.18937734,s,ML09_20200429_120_09.mseed
8164,ML09,2020-04-29 09:38:00.290,0.68242216,p,ML09_20200429_120_09.mseed
8165,ML09,2020-04-29 09:38:00.590,0.20342946,s,ML09_20200429_120_09.mseed
8166,ML09,2020-04-29 09:38:36.270,0.6580399,p,ML09_20200429_120_09.mseed
8167,ML09,2020-04-29 09:38:36.410,0.4894808,s,ML09_20200429_120_09.mseed
8168,ML09,2020-04-29 09:38:37.970,0.6411232,s,ML09_20200429_120_09.mseed
8169,ML09,2020-04-29 09:39:38.870,0.16129431,p,ML09_20200429_120_09.mseed
8170,ML09,2020-04-29 09:39:41.700,0.3549481,p,ML09_20200429_120_09.mseed
8171,ML09,2020-04-29 09:39:41.850,0.35155934,s,ML09_20200429_120_09.mseed
8172,ML09,2020-04-29 09:39:49.280,0.56020373,p,ML09_20200429_120_09.mseed
8173,ML09,2020-04-29 09:39:49.600,0.13869396,s,ML09_20200429_120_09.mseed
8174,ML09,2020-04-29 09:40:11.750,0.13940358,p,ML09_20200429_120_09.mseed
8175,ML09,2020-04-29 09:40:47.190,0.5854959,p,ML09_20200429_120_09.mseed
8176,ML09,2020-04-29 09:40:56.600,0.68075144,p,ML09_20200429_120_09.mseed
8177,ML09,2020-04-29 09:41:47.690,0.2809377,p,ML09_20200429_120_09.mseed
