event_id,station_id,timestamp,prob,type
2174,ML04,03:39.2,0.7907315,S
2175,ML04,43:47.4,0.12630582,S
2175,ML04,43:47.3,0.5531485,P
2175,ML04,43:48.5,0.1765709,S
2178,ML04,31:45.2,0.82923585,P
2178,ML04,31:46.1,0.1334095,S
2180,ML04,50:40.1,0.3742256,P
2180,ML04,50:41.9,0.10436689,S
2181,ML04,58:48.0,0.9806697,P
2181,ML04,58:48.5,0.9131053,S
2185,ML04,12:15.6,0.95900035,P
2185,ML04,12:16.3,0.6066937,S
2187,ML04,50:44.4,0.50273365,P
2187,ML04,50:45.4,0.16881654,S
2188,ML04,36:57.3,0.79814756,P
2188,ML04,36:58.5,0.62249607,S
2189,ML04,35:06.6,0.7783958,P
2189,ML04,35:06.7,0.12386923,S
2189,ML04,35:07.3,0.28211883,S
2192,ML04,25:51.0,0.3197704,P
2195,ML04,03:41.8,0.9648415,P
2195,ML04,03:42.7,0.6468555,S
2196,ML04,05:30.6,0.90705794,P
2196,ML04,05:31.1,0.8397881,S
2200,ML04,05:46.0,0.65315664,P
2200,ML04,05:46.9,0.27974603,P
2200,ML04,05:47.3,0.9501621,S
2201,ML04,06:57.9,0.9295294,P
2201,ML04,06:59.5,0.89922315,S
2202,ML04,10:44.3,0.9769498,P
2202,ML04,10:44.8,0.9454262,S
2203,ML04,32:43.9,0.97846574,P
2203,ML04,32:44.4,0.9450413,S
2205,ML04,33:45.9,0.9739672,P
2205,ML04,33:46.4,0.95515484,S
2206,ML04,04:36.7,0.97159046,P
2206,ML04,04:37.2,0.9501224,S
2208,ML04,45:17.0,0.9568201,P
2208,ML04,45:17.5,0.94058466,S
2211,ML04,36:41.4,0.2033144,P
2211,ML04,36:42.6,0.4875971,S
2213,ML04,22:34.6,0.21712865,S
2214,ML04,34:21.6,0.34632757,P
2214,ML04,34:22.9,0.52560234,P
2214,ML04,34:22.9,0.3560003,S
2218,ML04,27:55.0,0.71905226,P
2218,ML04,27:55.3,0.6228689,S
2219,ML04,45:48.6,0.86136633,P
2219,ML04,45:50.2,0.85984427,S
2220,ML04,47:01.8,0.44005537,P
2220,ML04,47:02.7,0.15466328,P
2220,ML04,47:03.2,0.8268599,S
2222,ML04,49:33.5,0.22492431,P
2222,ML04,49:36.3,0.5107223,S
2226,ML04,46:37.8,0.7858414,P
2226,ML04,46:39.0,0.8648844,S
2227,ML04,15:59.6,0.8287391,P
2227,ML04,16:01.5,0.9244057,S
2229,ML04,26:27.1,0.9776504,P
2229,ML04,26:27.9,0.92689925,S
2231,ML04,34:33.6,0.97096854,P
2231,ML04,34:34.2,0.83067703,S
2232,ML04,51:22.1,0.82549715,P
