id,origin_time,lon,lat,utm_x,utm_y,depth_km,depth_m,elevation_m,elevation_km,magnitude,CID,RCC,RCT,remarks
56,2024-11-21 20:22:38.240,103.403296,-4.221184,322782.73264716496,9533242.075295512,0.1549999999999998,154.9999999999998,-154.9999999999998,-0.1549999999999998,0.0,2,0.013,0.026,WCC
70,2024-11-23 17:01:15.060,103.400667,-4.218993,322490.3682112897,9533483.754439129,0.1459999999999999,145.99999999999991,-145.99999999999991,-0.1459999999999999,0.0,2,0.007,0.031,WCC
80,2024-11-25 13:26:03.260,103.39978,-4.214082,322390.77931264264,9534026.605540305,0.007000000000000117,7.000000000000117,-7.000000000000117,-0.007000000000000117,0.0,2,0.004,0.03,WCC
81,2024-11-25 13:26:11.460,103.402767,-4.218454,322723.3846879019,9533543.835012378,0.3690000000000002,369.0000000000002,-369.0000000000002,-0.3690000000000002,0.0,2,0.015,0.028,WCC
83,2024-11-25 22:28:00.000,103.406836,-4.217708,323174.9496259956,9533627.252057321,0.30799999999999983,307.99999999999983,-307.99999999999983,-0.30799999999999983,0.0,2,0.018,0.026,WCC
88,2024-11-28 06:12:54.790,103.413843,-4.214568,323952.1470516948,9533976.055484505,1.0859999999999999,1085.9999999999998,-1085.9999999999998,-1.0859999999999999,0.0,2,-9.0,0.021,WCC
72,2024-11-24 14:14:45.130,103.414331,-4.312125,324028.5243261022,9523188.474730002,4.495,4495.0,-4495.0,-4.495,0.0,3,0.021,0.025,WCC
73,2024-11-24 16:12:06.970,103.413078,-4.31285,323889.6028086562,9523108.015673839,4.716,4716.0,-4716.0,-4.716,0.0,3,0.019,0.019,WCC
74,2024-11-24 19:38:01.000,103.412345,-4.310552,323807.70708983764,9523361.955675432,4.608,4608.0,-4608.0,-4.608,0.0,3,0.02,0.035,WCC
75,2024-11-24 20:11:41.880,103.415397,-4.311816,324146.78389573935,9523222.889673196,4.499,4499.0,-4499.0,-4.499,0.0,3,0.017,0.017,WCC
76,2024-11-24 20:14:13.380,103.413444,-4.311837,323929.99709842703,9523220.11634567,4.553,4553.0,-4553.0,-4.553,0.0,3,0.023,0.023,WCC
77,2024-11-24 20:46:13.240,103.415015,-4.313128,324104.6820885604,9523077.72256366,4.511,4511.0,-4511.0,-4.511,0.0,3,0.021,0.023,WCC
